id,plate,state,license_type,summons_number,issue_date,summons_image,violation_time,violation,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,violation_status,judgment_entry_date
715,HUV7847,NY,PAS,8526816366,01/14/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVNXFaM2hPYWsweVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",09:18A,NO PARKING-DAY/TIME LIMITS,60,0,0,0,60,0,047,BX,TRAFFIC,,
716,HYC2637,NY,PAS,8526816342,01/14/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVNXFaM2hPYWswd1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",08:58A,NO STANDING-DAY/TIME LIMITS,115,0,0,0,115,0,047,BX,TRAFFIC,,
717,JEN3600,NY,PAS,8641815028,11/21/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1FMVVaM2hPVkVGNVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",09:49P,CROSSWALK,115,0,0,0,115,0,090,K,TRAFFIC,HEARING HELD-GUILTY,
718,T691132C,NY,OMT,4650133282,11/19/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWHBOZWtrMFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:27A,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0,0,75,0,000,BX,DEPARTMENT OF TRANSPORTATION,,
719,DLE6005,NY,PAS,8526816329,01/14/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVNXFaM2hPYWsxNVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",08:11A,NO PARKING-STREET CLEANING,45,0,0,0,45,0,047,BX,TRAFFIC,,
720,RLV4443,GA,PAS,4650133294,11/19/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWHBOZWtrMVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:27A,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0,0,75,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
721,4L32H,NY,OMT,4650133270,11/19/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWHBOZWtrelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:27A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
722,FHD7078,NY,PAS,8526816330,01/14/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVNXFaM2hPYWsxNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",08:15A,NO PARKING-STREET CLEANING,45,0,0,0,45,0,047,BX,TRAFFIC,,
723,46611BB,NY,OMR,8685328603,09/06/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk5FNVVUWGxQUkZsM1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",09:55P,PARKED BUS-EXC. DESIG. AREA,45,0,0,0,45,0,069,K,TRAFFIC,,
724,86902MC,NY,COM,8685328627,09/06/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk5FNVVUWGxQUkZsNVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:05P,NGHT PKG ON RESID STR-COMM VEH,65,0,0,25,40,0,069,K,TRAFFIC,HEARING HELD-GUILTY REDUCTION,
725,XEEG56,NJ,PAS,4650133476,11/19/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWHBOZWxFelRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:31A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
726,63542JM,NY,COM,8704126701,01/29/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSamQwNUVSWGxPYW1OM1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",04:30P,NO PARKING-DAY/TIME LIMITS,65,0,0,40,25,0,010,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,
727,C68FVH,NJ,PAS,8526816391,01/14/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVNXFaM2hPYWswMVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",11:49A,NO PARKING-STREET CLEANING,45,30,0,0,75,0,047,BX,TRAFFIC,,
728,HLD8312,NY,PAS,8559723572,09/20/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VOVVZM2xOZWxVelRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",09:45A,NO PARKING-STREET CLEANING,45,10,0,0,55,0,115,Q,TRAFFIC,,
729,HNJ3826,NY,PAS,4650133555,11/19/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWHBOZWxVeFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:33A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
730,10221MB,NY,COM,5110844409,06/23/2020,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVFMUVaekJPUkZGM1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",05:10P,FAILURE TO STOP AT RED LIGHT,50,0,0,0,50,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
731,SJH252,TX,PAS,8555459631,06/02/2017,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VNVVVVEZQVkZsNlRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,,,,,,,,,,
732,GPW7520,NY,PAS,8857526021,02/25/2021,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VNTZWWGxPYWtGNVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",11:53A,NO PARKING-STREET CLEANING,65,0,0,0,65,0,070,K,TRAFFIC,,
733,GRD1039,NY,PAS,4650133506,11/19/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWHBOZWxWM1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:32A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
734,71914MM,NY,COM,8670149680,05/01/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk0wMUVSVEJQVkZrMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:14A,INSP. STICKER-EXPIRED/MISSING,65,30,0,0,95,0,013,NY,TRAFFIC,HEARING HELD-GUILTY,
735,KFV5975,NY,PAS,8857526276,02/26/2021,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VNTZWWGxPYWtrelRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:27P,INSP. STICKER-EXPIRED/MISSING,65,0,0,0,65,0,061,K,TRAFFIC,,
736,83551ME,NY,COM,8704126660,01/29/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSamQwNUVSWGxPYWxreVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",04:00P,NO STANDING-DAY/TIME LIMITS,115,0,0,15,100,0,010,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,
737,958USA,NY,ORG,8685329140,09/07/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk5FNVVUWGxQVkVVd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",09:52P,NO STANDING-BUS STOP,115,0,0,0,115,0,063,K,TRAFFIC,,
738,HTC9508,NY,PAS,8559724060,09/25/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VOVVZM2xPUkVFeVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",06:21A,FIRE HYDRANT,115,10,0,0,125,0,115,Q,TRAFFIC,,
739,T698829C,NY,OMT,8559723810,09/24/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VOVVZM2xOZW1kNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",05:56A,FIRE HYDRANT,115,10,0,0,125,0,115,Q,TRAFFIC,,
740,T662806C,NY,OMT,4650133634,11/19/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWHBOZWxsNlRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:35A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,BX,DEPARTMENT OF TRANSPORTATION,,
741,PEW9,NY,SRF,4650133660,11/19/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWHBOZWxreVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:36A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
742,HLD6581,NY,PAS,8526816512,01/14/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVNXFaM2hPYWxWNFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:40P,NO PARKING-DAY/TIME LIMITS,60,0,0,0,60,0,048,BX,TRAFFIC,,
743,JCN1945,NY,PAS,8641815363,11/23/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1FMVVaM2hPVkUweVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",09:05P,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,35,0,061,K,TRAFFIC,,
744,KGF3728,NY,PAS,8857526288,02/26/2021,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VNTZWWGxPYWtrMFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:38P,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,35,0,061,K,TRAFFIC,,
745,EMA8618,NY,PAS,8526816524,01/14/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVNXFaM2hPYWxWNVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:42P,SIDEWALK,115,30,0,0,145,0,048,BX,TRAFFIC,,
746,12550MM,NY,COM,8685329310,09/08/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk5FNVVUWGxQVkUxNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:13A,NGHT PKG ON RESID STR-COMM VEH,65,0,0,0,65,0,067,K,TRAFFIC,,
747,HVZ6137,NY,PAS,8685329280,09/08/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk5FNVVUWGxQVkVrMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:06A,NO PARKING-STREET CLEANING,45,0,0,0,45,0,070,K,TRAFFIC,,
748,GKW8537,NY,PAS,8559724590,09/30/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VOVVZM2xPUkZVMVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",06:06A,NO STANDING-EXC. AUTH. VEHICLE,95,10,0,0,105,0,115,Q,TRAFFIC,,
749,GTS7912,NY,PAS,4650133830,11/19/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWHBOZW1kNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:40A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
750,15890,CT,PAS,8555459990,06/05/2017,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VNVVVVEZQVkdzMVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,,,,,,,,,,
751,7ROH865,CA,PAS,8555460086,06/05/2017,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VNVVVVEpOUkVFMFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,,,,,,,,,,
752,HCE1339,NY,PAS,8670147385,04/15/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk0wMUVSVEJPZWswMFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",09:31A,FIRE HYDRANT,115,60,0.61,0.22,175.39,0,017,NY,TRAFFIC,,08/01/2019
753,HTB6231,NY,PAS,8857526525,03/01/2021,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VNTZWWGxPYWxWNVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:18P,CROSSWALK,115,0,0,0,115,0,061,K,TRAFFIC,,
754,3204DMB,NJ,PAS,8539475108,08/25/2017,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVrOVVVVE5PVkVWM1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,,,,,,,,,,
755,HUV5347,NY,PAS,8526816597,01/14/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVNXFaM2hPYWxVMVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:20P,FRONT OR BACK PLATE MISSING,65,0,0,0,65,0,045,BX,TRAFFIC,,
756,C47DMF,NJ,PAS,4650133968,11/19/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWHBOZW1zeVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:43A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
757,HSJ4751,NY,PAS,8526816627,01/14/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVNXFaM2hPYWxsNVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:29P,SIDEWALK,115,0,0,0,115,0,045,BX,TRAFFIC,HEARING HELD-GUILTY,
758,JAG8899,NY,PAS,4650133920,11/19/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWHBOZW10NVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:42A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
759,FWS6689,NY,PAS,4650133944,11/19/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWHBOZW1zd1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:42A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
760,HHT7580,NY,PAS,8641815508,11/23/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1FMVVaM2hPVkZWM1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:42P,NO STANDING-DAY/TIME LIMITS,115,0,0,115,0,0,063,K,TRAFFIC,HEARING HELD-NOT GUILTY,
761,FPT1004,NY,PAS,8559724497,09/30/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VOVVZM2xPUkZFMVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",05:35A,FIRE HYDRANT,115,10,0,0,125,0,115,Q,TRAFFIC,,
762,HXE3907,NY,PAS,8641815569,11/24/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1FMVVaM2hPVkZVeVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:26A,ANGLE PARKING,45,0,0,0,45,0,063,K,TRAFFIC,,
763,GPR3870,NY,PAS,8526816615,01/14/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVNXFaM2hPYWxsNFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:27P,CROSSWALK,115,0,0,0,115,0,045,BX,TRAFFIC,,
764,FLY8900,NY,PAS,4650133804,11/19/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWHBOZW1kM1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:40A,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0,0,75,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
765,GLY6576,NY,PAS,4650133816,11/19/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWHBOZW1kNFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:40A,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0,0,75,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
766,9435KF,SC,PAS,8641815703,11/24/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1FMVVaM2hPVkdOM1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",07:40P,NO STANDING-EXC. TRUCK LOADING,95,10,0,0,105,0,084,K,TRAFFIC,,
767,XBYG33,NJ,PAS,8526816652,01/14/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVNXFaM2hPYWxreFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:39P,WRONG WAY,45,0,0,0,45,0,045,BX,TRAFFIC,HEARING HELD-GUILTY,
768,HNF6719,NY,PAS,4650134134,11/19/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWHBPUkVWNlRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:48A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
769,HHY2354,NY,PAS,4650134122,11/19/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWHBPUkVWNVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:47A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
770,FMLKMS,NY,SRF,8641815820,11/24/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1FMVVaM2hPVkdkNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",08:30P,WRONG WAY,45,0,0,0,45,0,084,K,TRAFFIC,,
771,EBB2V,FL,PAS,4650134006,11/19/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWHBPUkVGM1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:45A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
772,HGF7552,NY,PAS,8717714692,03/26/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSamVFNTZZM2hPUkZrMVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",07:44A,NO PARKING-STREET CLEANING,45,0,0,0,45,0,030,NY,TRAFFIC,,
773,JRB2017,NY,PAS,4706918807,09/10/2020,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSamQwNXFhM2hQUkdkM1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",06:08P,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
774,HEF4110,NY,PAS,8857526537,03/01/2021,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VNTZWWGxPYWxWNlRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:21P,NO PARKING-DAY/TIME LIMITS,60,0,0,0,60,0,061,K,TRAFFIC,,
775,BAF5389,NY,PAS,8857550977,09/26/2020,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VNTZWVEZOUkdzelRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:28P,EXPIRED MUNI METER,35,0,0,0,35,0,114,Q,TRAFFIC,,
776,2XM167,MA,PAS,8555460116,06/05/2017,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VNVVVVEpOUkVWNFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,,,,,,,,,,
777,ZHF8172,NY,ITP,8555460141,06/05/2017,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VNVVVVEpOUkVVd1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,,,,,,,,,,
778,HMK1488,NY,PAS,8857559373,11/07/2020,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VNTZWVEZQVkUwelRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:54P,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,35,0,114,Q,TRAFFIC,,
779,AP216J,NJ,PAS,8717714710,03/26/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSamVFNTZZM2hPUkdONFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",07:45A,NO PARKING-STREET CLEANING,45,0,0,20,25,0,030,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,
780,E51KPB,NJ,PAS,8711500591,01/15/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSamVFMVVWWGROUkZVMVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:41P,NO STANDING-COMM METER ZONE,115,10,0,0,125,0,014,NY,TRAFFIC,,
781,GUG8352,NY,PAS,8526816640,01/14/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVNXFaM2hPYWxrd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:35P,REG. STICKER-EXPIRED/MISSING,65,10,0,0,75,0,045,BX,TRAFFIC,,
782,JAE7870,NY,PAS,8685330040,09/10/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk5FNVVUWHBOUkVFd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",08:32P,FIRE HYDRANT,115,0,0,0,115,0,094,K,TRAFFIC,,
783,T689003C,NY,OMT,8559725453,10/04/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VOVVZM2xPVkZFeFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",06:08A,FIRE HYDRANT,115,0,0,0,115,0,115,Q,TRAFFIC,HEARING HELD-GUILTY,
784,GWV1788,NY,PAS,4650134237,11/19/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWHBPUkVsNlRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:50A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
785,95945MC,NY,COM,4650134225,11/19/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWHBPUkVsNVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:50A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
786,T753252C,NY,OMT,4650134250,11/19/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWHBPUkVreFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:51A,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0,0,75,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
787,33885ML,NY,COM,8685330166,09/10/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk5FNVVUWHBOUkVVeVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",11:23P,NGHT PKG ON RESID STR-COMM VEH,65,0,0,37,28,0,067,K,TRAFFIC,HEARING HELD-GUILTY REDUCTION,
788,33885ML,NY,COM,8685330178,09/10/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk5FNVVUWHBOUkVVelQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",11:23P,INSP. STICKER-EXPIRED/MISSING,65,0,0,37,28,0,067,K,TRAFFIC,HEARING HELD-GUILTY REDUCTION,
789,R42JZZ,NJ,PAS,4650134213,11/19/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWHBPUkVsNFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:49A,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0,0,75,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
790,RBW7126,GA,PAS,4650134249,11/19/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWHBPUkVrd1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:50A,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0,0,75,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
791,GHV3900,NY,PAS,8526816767,01/14/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVNXFaM2hPYW1NeVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",04:33P,DOUBLE PARKING,115,0,0,0,115,0,045,BX,TRAFFIC,,
792,JFZ6674,NY,PAS,8776563868,01/20/2020,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak0wNXFWVEpOZW1jeVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",09:39A,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,35,0,112,Q,TRAFFIC,,
793,ESY2120,NY,PAS,8857566511,12/10/2020,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VNTZWVEpPYWxWNFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",05:00P,EXPIRED MUNI METER,35,0,0,0,35,0,110,Q,TRAFFIC,,
794,T787217C,NY,OMT,4650134304,11/19/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWHBPUkUxM1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:52A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
